"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launched_date","end_date","category_id","subcategory_id","contact_id-2","first_name","last_name","email","category_id-2","category","subcategory_id-2","subcategory"
1345,4242,"Johnson, Parker and Haynes","Focused 6thgeneration forecast","$45,900.00","$150,965.00","successful",1606,"CH","CHF","2020-11-06","2021-08-27","cat5","subcat13",4242,"Marina","Madrid","marina.madrid@galarza-alba.com","cat5","film & video","subcat13","shorts"
2303,4326,"Clark-Cooke","Down-sized analyzing challenge","$9,000.00","$14,455.00","successful",129,"US","USD","2020-10-28","2021-02-15","cat5","subcat11",4326,"Sheila","Goodwin","sheila.goodwin@yahoo.com","cat5","film & video","subcat11","animation"
2224,5560,"Schroeder Ltd","Progressive needs-based focus group","$3,500.00","$10,850.00","successful",226,"GB","GBP","2020-11-25","2021-02-05","cat7","subcat12",5560,"Valeria","Rich","valeria.rich@turchetta-mondadori.it","cat7","games","subcat12","video games"
1173,4002,"Jackson PLC","Ergonomic 6thgeneration success","$101,000.00","$87,676.00","failed",2307,"IT","EUR","2021-02-21","2021-11-26","cat5","subcat5",4002,"Dustin","Camacho","dustin.camacho@rhodes.org.au","cat5","film & video","subcat5","documentary"
210,3813,"Blair, Collins and Carter","Exclusive interactive approach","$50,200.00","$189,666.00","successful",5419,"US","USD","2021-04-04","2021-12-09","cat4","subcat4",3813,"Amalia","Marenzio","amalia.marenzio@grupo.com","cat4","theater","subcat4","plays"
1546,5336,"Maldonado and Sons","Reverse-engineered asynchronous archive","$9,300.00","$14,025.00","successful",165,"US","USD","2021-01-26","2021-12-10","cat5","subcat5",5336,"Gian","Long","gian.long@hotmail.com","cat5","film & video","subcat5","documentary"
2871,4994,"Mitchell and Sons","Synergized intangible challenge","$125,500.00","$188,628.00","successful",1965,"DK","DKK","2021-03-16","2021-03-25","cat5","subcat7",4994,"Stewart","Hunt","stewart.hunt@anderson-vargas.biz","cat5","film & video","subcat7","drama"
2034,1471,"Jackson-Lewis","Monitored multi-state encryption","$700.00","$1,101.00","successful",16,"US","USD","2021-04-07","2021-11-26","cat4","subcat4",1471,"Greca","Ruiz","greca.ruiz@carr.co.uk","cat4","theater","subcat4","plays"
2677,4482,"Black, Armstrong and Anderson","Profound attitude-oriented functionalities","$8,100.00","$11,339.00","successful",107,"US","USD","2020-11-20","2021-10-18","cat6","subcat14",4482,"Gerald","Olivera","gerald.olivera@outlook.com","cat6","publishing","subcat14","fiction"
1865,3241,"Maldonado-Gonzalez","Digitized client-driven database","$3,100.00","$10,085.00","successful",134,"US","USD","2021-08-23","2022-01-10","cat8","subcat15",3241,"Jaqueline","Wallace","jaqueline.wallace@gmail.com","cat8","photography","subcat15","photography books"
170,3477,"Kim-Rice","Organized bi-directional function","$9,900.00","$5,027.00","failed",88,"DK","DKK","2021-04-14","2021-05-01","cat4","subcat4",3477,"John","Lane","john.lane@gregoire.fr","cat4","theater","subcat4","plays"
462,2265,"Garcia, Garcia and Lopez","Reduced stable middleware","$8,800.00","$14,878.00","successful",198,"US","USD","2020-11-18","2021-03-18","cat3","subcat9",2265,"Pero","Joly","pero.joly@bernard.net","cat3","technology","subcat9","wearables"
3122,5911,"Watts Group","Universal 5thgeneration neural-net","$5,600.00","$11,924.00","successful",111,"IT","EUR","2021-03-17","2021-07-08","cat2","subcat2",5911,"Chad","Turner","chad.turner@gmail.com","cat2","music","subcat2","rock"
1175,2288,"Werner-Bryant","Virtual uniform frame","$1,800.00","$7,991.00","successful",222,"US","USD","2020-06-20","2021-01-30","cat1","subcat1",2288,"Adam","Zavala","adam.zavala@guichard.fr","cat1","food","subcat1","food trucks"
2301,4064,"Schmitt-Mendoza","Profound explicit paradigm","$90,200.00","$167,717.00","successful",6212,"US","USD","2020-11-14","2021-07-06","cat6","subcat16",4064,"Tyler","Rivera","tyler.rivera@guajardo-ozuna.com","cat6","publishing","subcat16","radio & podcasts"
91,1294,"Reid-Mccullough","Visionary real-time groupware","$1,600.00","$10,541.00","successful",98,"DK","DKK","2020-11-25","2021-03-01","cat6","subcat14",1294,"Jens","Graham","jens.graham@jones-buckley.com","cat6","publishing","subcat14","fiction"
87,5008,"Woods-Clark","Networked tertiary Graphical User Interface","$9,500.00","$4,530.00","failed",48,"US","USD","2021-01-18","2021-03-20","cat4","subcat4",5008,"Virginia","Caetani","virginia.caetani@sosa.biz","cat4","theater","subcat4","plays"
1482,3604,"Vaughn, Hunt and Caldwell","Virtual grid-enabled task-force","$3,700.00","$4,247.00","successful",92,"US","USD","2021-05-23","2021-09-23","cat2","subcat2",3604,"Martino","Wagner","martino.wagner@laposte.net","cat2","music","subcat2","rock"
1711,3263,"Bennett and Sons","Function-based multi-state software","$1,500.00","$7,129.00","successful",149,"US","USD","2020-12-18","2021-06-27","cat4","subcat4",3263,"Martin","Meyer","martin.meyer@davis.co.uk","cat4","theater","subcat4","plays"
2294,5631,"Lamb Inc","Optimized leadingedge concept","$33,300.00","$128,862.00","successful",2431,"US","USD","2021-02-22","2021-11-10","cat4","subcat4",5631,"Marguerite","Walls","marguerite.walls@martinez.fr","cat4","theater","subcat4","plays"
2389,2851,"Casey-Kelly","Sharable holistic interface","$7,200.00","$13,653.00","successful",303,"US","USD","2021-01-25","2022-01-30","cat2","subcat2",2851,"Peter","Vogt","peter.vogt@yahoo.com","cat2","music","subcat2","rock"
378,3714,"Jones, Taylor and Moore","Down-sized system-worthy secured line","$100.00","$2.00","failed",1,"IT","EUR","2021-10-08","2021-11-03","cat2","subcat17",3714,"Nicholas","Christian","nicholas.christian@hotmail.de","cat2","music","subcat17","metal"
1213,1664,"Bradshaw, Gill and Donovan","Inverse secondary infrastructure","$158,100.00","$145,243.00","failed",1467,"GB","GBP","2020-09-07","2021-07-29","cat3","subcat9",1664,"Susi","Steinberg","susi.steinberg@preiss.com","cat3","technology","subcat9","wearables"
29,5027,"Hernandez, Rodriguez and Clark","Organic foreground leverage","$7,200.00","$2,459.00","failed",75,"US","USD","2021-03-12","2022-01-05","cat4","subcat4",5027,"Tammy","Ramazzotti","tammy.ramazzotti@gmail.com","cat4","theater","subcat4","plays"
2309,3070,"Smith-Jones","Reverse-engineered static concept","$8,800.00","$12,356.00","successful",209,"US","USD","2021-10-14","2021-12-24","cat5","subcat7",3070,"Abdul","Thomas","abdul.thomas@vasari.com","cat5","film & video","subcat7","drama"
2101,4248,"Roy PLC","Multi-channeled neutral customer loyalty","$6,000.00","$5,392.00","failed",120,"US","USD","2021-03-30","2021-05-24","cat3","subcat9",4248,"Justin","Luxardo","justin.luxardo@googlemail.com","cat3","technology","subcat9","wearables"
1057,2034,"Wright, Brooks and Villarreal","Reverse-engineered bifurcated strategy","$6,600.00","$11,746.00","successful",131,"US","USD","2021-09-29","2021-11-29","cat2","subcat18",2034,"Antonio","Gibson","antonio.gibson@faust.net","cat2","music","subcat18","jazz"
2655,4085,"Flores, Miller and Johnson","Horizontal context-sensitive knowledge user","$8,000.00","$11,493.00","successful",164,"US","USD","2021-03-03","2021-05-22","cat3","subcat9",4085,"Jeremy","Gomez","jeremy.gomez@oconnor.org","cat3","technology","subcat9","wearables"
202,3569,"Bridges, Freeman and Kim","Cross-group multi-state task-force","$2,900.00","$6,243.00","successful",201,"US","USD","2021-07-23","2021-12-04","cat7","subcat12",3569,"Raymond","Solorzano","raymond.solorzano@gmail.com","cat7","games","subcat12","video games"
2025,3889,"Anderson-Perez","Expanded 3rdgeneration strategy","$2,700.00","$6,132.00","successful",211,"US","USD","2021-02-09","2021-06-11","cat4","subcat4",3889,"Flora","Harris","flora.harris@hotmail.com.au","cat4","theater","subcat4","plays"
2395,3136,"Wright, Fox and Marks","Assimilated real-time support","$1,400.00","$3,851.00","successful",128,"US","USD","2020-12-10","2021-03-07","cat4","subcat4",3136,"Cheryl","Boyd","cheryl.boyd@segni.it","cat4","theater","subcat4","plays"
1418,2103,"Crawford-Peters","User-centric regional database","$94,200.00","$135,997.00","successful",1600,"CA","CAD","2020-10-20","2021-08-24","cat4","subcat4",2103,"Rhys","Leiva","rhys.leiva@gmx.de","cat4","theater","subcat4","plays"
1905,2329,"Romero-Hoffman","Open-source zero administration complexity","$199,200.00","$184,750.00","failed",2253,"CA","CAD","2021-06-15","2021-10-26","cat4","subcat4",2329,"Mariano","Prieto","mariano.prieto@vodafone.it","cat4","theater","subcat4","plays"
1969,3325,"Sparks-West","Organized incremental standardization","$2,000.00","$14,452.00","successful",249,"US","USD","2021-08-19","2021-11-21","cat3","subcat3",3325,"Laurie","Fibonacci","laurie.fibonacci@gmail.com","cat3","technology","subcat3","web"
2430,3131,"Baker, Morgan and Brown","Assimilated didactic open system","$4,700.00","$557.00","failed",5,"US","USD","2021-06-25","2021-07-16","cat4","subcat4",3131,"David","Rudolph","david.rudolph@nelson.com","cat4","theater","subcat4","plays"
1291,4995,"Mosley-Gilbert","Vision-oriented logistical intranet","$2,800.00","$2,734.00","failed",38,"US","USD","2021-05-21","2021-09-23","cat3","subcat3",4995,"Bryan","Ross","bryan.ross@yahoo.com","cat3","technology","subcat3","web"
1934,3631,"Berry-Boyer","Mandatory incremental projection","$6,100.00","$14,405.00","successful",236,"US","USD","2021-02-23","2021-11-20","cat4","subcat4",3631,"Ubaldo","Brown","ubaldo.brown@philippe.com","cat4","theater","subcat4","plays"
1225,5373,"Sanders-Allen","Grass-roots needs-based encryption","$2,900.00","$1,307.00","failed",12,"US","USD","2021-10-05","2021-11-06","cat4","subcat4",5373,"Clelia","Faulkner","clelia.faulkner@hotmail.com","cat4","theater","subcat4","plays"
1363,3126,"Lopez Inc","Team-oriented 6thgeneration middleware","$72,600.00","$117,892.00","successful",4065,"GB","GBP","2020-11-03","2021-09-24","cat3","subcat9",3126,"Sara","Erickson","sara.erickson@yahoo.de","cat3","technology","subcat9","wearables"
963,2194,"Moreno-Turner","Inverse multi-tasking installation","$5,700.00","$14,508.00","successful",246,"IT","EUR","2020-08-10","2021-02-07","cat4","subcat4",2194,"Rupert","Valle","rupert.valle@filogamo.it","cat4","theater","subcat4","plays"
1486,2906,"Jones-Watson","Switchable disintermediate moderator","$7,900.00","$1,901.00","canceled",17,"US","USD","2021-06-27","2022-01-17","cat4","subcat4",2906,"Puccio","Kitzmann","puccio.kitzmann@yahoo.com","cat4","theater","subcat4","plays"
676,2611,"Barker Inc","Re-engineered 24/7 task-force","$128,000.00","$158,389.00","successful",2475,"IT","EUR","2021-08-08","2022-01-30","cat4","subcat4",2611,"Thomas","Hutchinson","thomas.hutchinson@gmx.de","cat4","theater","subcat4","plays"
2137,2374,"Tate, Bass and House","Organic object-oriented budgetary management","$6,000.00","$6,484.00","successful",76,"US","USD","2021-03-19","2021-06-05","cat4","subcat4",2374,"Abelardo","Castro","abelardo.castro@gmail.com","cat4","theater","subcat4","plays"
2656,3254,"Hampton, Lewis and Ray","Seamless coherent parallelism","$600.00","$4,022.00","successful",54,"US","USD","2021-07-27","2021-11-30","cat5","subcat11",3254,"Greco","Walker","greco.walker@yahoo.com","cat5","film & video","subcat11","animation"
1556,3571,"Collins-Goodman","Cross-platform even-keeled initiative","$1,400.00","$9,253.00","successful",88,"US","USD","2020-05-11","2021-03-09","cat2","subcat18",3571,"Miranda","Lacombe","miranda.lacombe@longoria-vanegas.net","cat2","music","subcat18","jazz"
747,2812,"Davis-Michael","Progressive tertiary framework","$3,900.00","$4,776.00","successful",85,"GB","GBP","2021-06-29","2021-08-27","cat2","subcat17",2812,"Diana","Schuchhardt","diana.schuchhardt@libero.it","cat2","music","subcat17","metal"
60,3961,"White, Torres and Bishop","Multi-layered dynamic protocol","$9,700.00","$14,606.00","successful",170,"US","USD","2021-02-25","2021-03-31","cat8","subcat15",3961,"Stacey","Knox","stacey.knox@corporacin.com","cat8","photography","subcat15","photography books"
2459,3872,"Martin, Conway and Larsen","Horizontal next generation function","$122,900.00","$95,993.00","failed",1684,"US","USD","2020-12-13","2021-12-26","cat4","subcat4",3872,"Glen","Faivre","glen.faivre@yahoo.com","cat4","theater","subcat4","plays"
1903,4736,"Acevedo-Huffman","Pre-emptive impactful model","$9,500.00","$4,460.00","failed",56,"US","USD","2021-06-17","2021-08-27","cat5","subcat11",4736,"Andrew","Torres","andrew.torres@ruiz-torres.org","cat5","film & video","subcat11","animation"
2003,5119,"Montgomery, Larson and Spencer","User-centric bifurcated knowledge user","$4,500.00","$13,536.00","successful",330,"US","USD","2020-12-24","2021-04-16","cat6","subcat19",5119,"Denny","Fritz","denny.fritz@despacho.biz","cat6","publishing","subcat19","translations"
2885,5725,"Soto LLC","Triple-buffered reciprocal project","$57,800.00","$40,228.00","failed",838,"US","USD","2021-06-13","2021-11-18","cat4","subcat4",5725,"Martyn","Caldera","martyn.caldera@hotmail.co.uk","cat4","theater","subcat4","plays"
2067,4037,"Sutton, Barrett and Tucker","Cross-platform needs-based approach","$1,100.00","$7,012.00","successful",127,"US","USD","2021-06-26","2021-10-21","cat7","subcat12",4037,"Abigail","Foster","abigail.foster@taylor.net","cat7","games","subcat12","video games"
1610,2109,"Gomez, Bailey and Flores","User-friendly static contingency","$16,800.00","$37,857.00","successful",411,"US","USD","2020-11-01","2021-03-04","cat2","subcat2",2109,"Anthony","Hauffer","anthony.hauffer@tlustek.org","cat2","music","subcat2","rock"
2909,3283,"Porter-George","Reactive content-based framework","$1,000.00","$14,973.00","successful",180,"GB","GBP","2020-10-09","2021-11-11","cat7","subcat12",3283,"Roger","Gerlach","roger.gerlach@may-mitchell.co.uk","cat7","games","subcat12","video games"
1239,6181,"Fitzgerald PLC","Realigned user-facing concept","$106,400.00","$39,996.00","failed",1000,"US","USD","2021-06-25","2021-08-08","cat2","subcat6",6181,"Christopher","Poirier","christopher.poirier@hotmail.com","cat2","music","subcat6","electric music"
2480,3251,"Cisneros-Burton","Public-key zero tolerance orchestration","$31,400.00","$41,564.00","successful",374,"US","USD","2021-07-03","2021-10-05","cat3","subcat9",3251,"Branka","Traore","branka.traore@jacobi.com","cat3","technology","subcat9","wearables"
2181,3443,"Hill, Lawson and Wilkinson","Multi-tiered eco-centric architecture","$4,900.00","$6,430.00","successful",71,"AU","AUD","2021-05-29","2021-08-20","cat2","subcat8",3443,"Briana","Etienne","briana.etienne@bishop-coates.com","cat2","music","subcat8","indie rock"
2030,2988,"Davis-Smith","Organic motivating firmware","$7,400.00","$12,405.00","successful",203,"US","USD","2021-05-16","2021-09-12","cat4","subcat4",2988,"Brandon","Olson","brandon.olson@prince-moreno.net","cat4","theater","subcat4","plays"
2311,1673,"Farrell and Sons","Synergized 4thgeneration conglomeration","$198,500.00","$123,040.00","failed",1482,"AU","AUD","2020-08-23","2021-03-24","cat2","subcat2",1673,"Celia","Ungaretti","celia.ungaretti@fox.com","cat2","music","subcat2","rock"
2821,2085,"Clark Group","Grass-roots fault-tolerant policy","$4,800.00","$12,516.00","successful",113,"US","USD","2020-07-21","2021-02-22","cat6","subcat19",2085,"Barbara","Guibert","barbara.guibert@casares-sanches.com","cat6","publishing","subcat19","translations"
2468,1672,"White, Singleton and Zimmerman","Monitored scalable knowledgebase","$3,400.00","$8,588.00","successful",96,"US","USD","2020-07-23","2021-01-18","cat4","subcat4",1672,"Daniela","Bell","daniela.bell@vollbrecht.org","cat4","theater","subcat4","plays"
656,4426,"Kramer Group","Synergistic explicit parallelism","$7,800.00","$6,132.00","failed",106,"US","USD","2021-10-09","2021-11-15","cat4","subcat4",4426,"Phyllis","Gurule","phyllis.gurule@rodriguez-pham.com","cat4","theater","subcat4","plays"
2791,3211,"Frazier, Patrick and Smith","Enhanced systemic analyzer","$154,300.00","$74,688.00","failed",679,"IT","EUR","2020-07-03","2021-06-17","cat6","subcat19",3211,"Alejandra","Joseph","alejandra.joseph@escalante-abrego.biz","cat6","publishing","subcat19","translations"
1527,3190,"Santos, Bell and Lloyd","Object-based analyzing knowledge user","$20,000.00","$51,775.00","successful",498,"CH","CHF","2020-08-05","2021-05-15","cat7","subcat12",3190,"Giulio","Bohlander","giulio.bohlander@dbmail.com","cat7","games","subcat12","video games"
1891,2081,"Hall and Sons","Pre-emptive radical architecture","$108,800.00","$65,877.00","canceled",610,"US","USD","2020-11-22","2021-12-05","cat4","subcat4",2081,"Amber","Weller","amber.weller@toso.eu","cat4","theater","subcat4","plays"
580,3185,"Hanson Inc","Grass-roots web-enabled contingency","$2,900.00","$8,807.00","successful",180,"GB","GBP","2021-03-14","2021-08-29","cat3","subcat3",3185,"Mary","Etzold","mary.etzold@conrad-harrison.com","cat3","technology","subcat3","web"
682,5044,"Sanchez LLC","Stand-alone system-worthy standardization","$900.00","$1,017.00","successful",27,"US","USD","2021-08-06","2021-09-05","cat5","subcat5",5044,"Amy","Georges","amy.georges@raedel.de","cat5","film & video","subcat5","documentary"
3097,1883,"Howard Ltd","Down-sized systematic policy","$69,700.00","$151,513.00","successful",2331,"US","USD","2021-10-18","2021-12-26","cat4","subcat4",1883,"Jennifer","Giraud","jennifer.giraud@yahoo.com","cat4","theater","subcat4","plays"
873,2067,"Stewart LLC","Cloned bi-directional architecture","$1,300.00","$12,047.00","successful",113,"US","USD","2020-11-29","2021-06-11","cat1","subcat1",2067,"Rosie","Peltier","rosie.peltier@voila.fr","cat1","food","subcat1","food trucks"
1668,4604,"Arias, Allen and Miller","Seamless transitional portal","$97,800.00","$32,951.00","failed",1220,"AU","AUD","2021-02-14","2021-11-03","cat7","subcat12",4604,"Oreste","Ward","oreste.ward@proyectos.com","cat7","games","subcat12","video games"
3076,3203,"Baker-Morris","Fully-configurable motivating approach","$7,600.00","$14,951.00","successful",164,"US","USD","2020-08-23","2021-02-06","cat4","subcat4",3203,"Luis","Edwards","luis.edwards@live.com","cat4","theater","subcat4","plays"
3146,5758,"Tucker, Fox and Green","Upgradable fault-tolerant approach","$100.00","$1.00","failed",1,"US","USD","2021-06-22","2021-10-23","cat4","subcat4",5758,"Fiona","Griffiths","fiona.griffiths@curatoli-verdone.it","cat4","theater","subcat4","plays"
253,5755,"Douglas LLC","Reduced heuristic moratorium","$900.00","$9,193.00","successful",164,"US","USD","2021-10-06","2022-01-27","cat2","subcat6",5755,"Sally","Raya","sally.raya@tarchetti.it","cat2","music","subcat6","electric music"
3088,5150,"Garcia Inc","Front-line web-enabled model","$3,700.00","$10,422.00","successful",336,"US","USD","2020-09-18","2021-08-18","cat3","subcat9",5150,"Carolyn","Charpentier","carolyn.charpentier@hotmail.de","cat3","technology","subcat9","wearables"
393,4181,"Frye, Hunt and Powell","Polarized incremental emulation","$10,000.00","$2,461.00","failed",37,"IT","EUR","2021-05-10","2021-08-03","cat2","subcat6",4181,"Nathalie","Alvarez","nathalie.alvarez@live.com","cat2","music","subcat6","electric music"
2912,3006,"Smith, Wells and Nguyen","Self-enabling grid-enabled initiative","$119,200.00","$170,623.00","successful",1917,"US","USD","2021-07-09","2021-10-15","cat2","subcat8",3006,"Abril","Lowery","abril.lowery@novak.net","cat2","music","subcat8","indie rock"
478,4865,"Charles-Johnson","Total fresh-thinking system engine","$6,800.00","$9,829.00","successful",95,"US","USD","2020-10-08","2021-07-23","cat3","subcat3",4865,"Ottone","Sullivan","ottone.sullivan@hussain-kaur.com","cat3","technology","subcat3","web"
1061,2862,"Brandt, Carter and Wood","Ameliorated clear-thinking circuit","$3,900.00","$14,006.00","successful",147,"US","USD","2021-03-05","2021-05-19","cat4","subcat4",2862,"Esmeralda","Sollima","esmeralda.sollima@visintini.it","cat4","theater","subcat4","plays"
2957,6070,"Tucker, Schmidt and Reid","Multi-layered encompassing installation","$3,500.00","$6,527.00","successful",86,"US","USD","2021-05-07","2021-12-28","cat4","subcat4",6070,"Silvia","Gierschner","silvia.gierschner@tele2.it","cat4","theater","subcat4","plays"
2015,5300,"Decker Inc","Universal encompassing implementation","$1,500.00","$8,929.00","successful",83,"US","USD","2020-10-14","2021-07-23","cat5","subcat5",5300,"Kyle","Cunningham","kyle.cunningham@voila.fr","cat5","film & video","subcat5","documentary"
1179,3486,"Romero and Sons","Object-based client-server application","$5,200.00","$3,079.00","failed",60,"US","USD","2020-10-01","2021-06-12","cat5","subcat20",3486,"Anel","Carpentier","anel.carpentier@klein-joseph.org","cat5","film & video","subcat20","television"
2568,5989,"Castillo-Carey","Cross-platform solution-oriented process improvement","$142,400.00","$21,307.00","failed",296,"US","USD","2020-05-05","2021-05-30","cat1","subcat1",5989,"Sarah","Davis","sarah.davis@david.com","cat1","food","subcat1","food trucks"
